user_id,stay_point_index,latitude,longitude,arrival_time,leaving_time,duration_minutes,stay_point_id
66,2,39.73047666666667,116.299939,2009-05-09T00:16:32,2009-05-09T00:55:29,38.95,-1
66,3,39.877493,116.344522,2009-05-09T02:18:34,2009-05-13T21:25:13,6906.65,-1
66,4,39.91401332325581,116.46016318139512,2009-05-13T21:25:55,2009-05-13T22:14:42,48.78,-1
66,5,39.91238180246912,116.45891068312754,2009-05-13T22:43:51,2009-05-13T23:41:31,57.67,-1
66,6,39.8997595,116.418493,2009-05-14T00:12:28,2009-05-14T00:37:24,24.93,-1
66,7,39.911936189781,116.454049649635,2009-05-14T00:38:08,2009-05-16T00:36:21,2878.22,-1
66,8,39.90998559999999,116.44415873333332,2009-05-16T00:36:21,2009-05-16T02:22:58,106.62,-1
66,9,39.91188787037037,116.4526486111111,2009-05-16T02:22:58,2009-05-27T23:49:17,17126.32,-1
66,10,39.94016200000002,116.42955604819277,2009-05-28T01:43:42,2009-05-28T02:40:21,56.65,-1
66,11,39.90316654107649,116.26265832011332,2009-05-28T02:55:41,2009-08-18T21:01:31,119165.83,-1
66,12,39.78211564242428,116.48988685454546,2009-08-18T21:27:45,2009-08-18T21:59:38,31.88,-1
66,13,39.78227559174319,116.48972688302736,2009-08-18T22:01:34,2009-08-18T23:39:28,97.9,-1
66,14,39.906088,116.442888,2009-08-19T00:49:19,2009-08-19T21:43:46,1254.45,-1
66,15,39.78278823893804,116.48885563716814,2009-08-19T21:43:46,2009-08-19T23:14:02,90.27,-1
66,16,39.7809736,116.4873392,2009-08-19T23:14:02,2009-08-19T23:48:24,34.37,-1
66,17,39.782311752151415,116.48928480378652,2009-08-19T23:48:24,2009-08-20T01:12:34,84.17,-1
66,18,39.78146301805057,116.4899374332129,2009-08-20T01:12:34,2009-08-20T01:41:51,29.28,-1
66,19,39.783343333333335,116.4891538888889,2009-08-20T01:41:51,2009-08-20T02:06:17,24.43,-1
66,21,39.92243225265957,116.33609732712786,2009-08-20T19:00:17,2009-08-20T20:15:20,75.05,-1
