Longitude;Latitude;addr_house;addr_stree;addr_city;addr_postc;addr_count;name;opening_ho;wheelchair;website;amenity;shop;phone;contact_ph;cuisine;contact_we;operator;email;contact_em;addr_subur;smoking;tourism;contact_fa;entrance;office;outdoor_se;wheelcha_1;toilets_wh;takeaway;wikidata;fax;level;addr_hou_1;internet_a;descriptio
11.56093510;48.15326410;71;Heßstraße;München;80798;DE;Takumi;"Mo-Fr 12:15-15:00.17:00-22:00; Sa 12:00-22:00; Su 12:00-21:00";no;http://www.takumi-noodle.com;restaurant;;+4989528599;;japanese;;;;;;;;;;;;;;;;;;;;
11.55583680;48.15237010;125;Dachauer Straße;München;80335;;Call-a-Pizza;Mo-Su 11:00-23:00;limited;;fast_food;;;;pizza;;;;;;;;;;;;;;yes;;;;;;
11.55617430;48.15208070;115;Dachauer Straße;München;80335;DE;Clevinci;Mo-Sa 17:30-23:00;;;restaurant;;;;;;;;;;;;;;;;;;;;;;;;
11.55601600;48.15227300;125;Dachauer Straße;München;80335;DE;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;
11.55607920;48.15221930;123;Dachauer Straße;München;80335;DE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.55579910;48.15245520;127;Dachauer Straße;München;80335;DE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.55623620;48.15272030;98a;Dachauer Straße;München;80335;DE;;;no;;;;;;;;;;;;;;;yes;;;;;;;;;;;
11.55657440;48.15251750;98;Dachauer Straße;München;80335;DE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58020400;48.13897070;12;Maximilianstraße;München;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58004030;48.13900420;10;Maximilianstraße;München;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58040960;48.13893060;14;Maximilianstraße;München;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58083350;48.13920520;11;Maximilianstraße;München;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58161570;48.13889880;17;Maximilianstraße;München;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58161350;48.13898280;17;Maximilianstraße;München;80539;DE;Vue Maximilian;;;http://www.kempinski-vierjahreszeiten.com/de/bars/index.htm?id=710;restaurant;;+49 89 21252125;;;;;restaurant.vierjahreszeiten@kempinski.com;;;;;;;;;;;;;;;;;
11.58212750;48.13887830;17;Maximilianstraße;München;80539;DE;Bulgari;;;http://www.bulgari.com;;jewelry;+49 89 2121760;;;;;;;;;;;;;;;;;;;;;;
11.58196470;48.13916840;17;Maximilianstraße;München;80539;DE;Hotel Vier Jahreszeiten Kempinski München;;limited;https://www.kempinski.com/de/munich/hotel-vier-jahreszeiten/;;;+49 89 21250;;;;Hotel Vier Jahreszeiten GmbH;reservations.vierjahreszeiten@kempinski.com;;;outside;hotel;;;;;;;;Q1388047;;;Hotel Vier Jahreszeiten Kempinski München;wlan;
11.58108330;48.13943070;15;Maximilianstraße;München;80539;DE;Brenner;"Mo-Tu 08:30-01:00; Fr-Sa 08:30-02:00; Su 09:30-01:00";limited;https://www.brennergrill.de/;restaurant;;+49 89 4522880;;"grill;pasta";;;;;;;;;;;yes;;;;;;;;;
11.58140480;48.13935020;13;Maximilianstraße;München;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58135960;48.13961250;15a;Maximilianstraße;München;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58158990;48.13958460;15;Maximilianstraße;München;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58154080;48.14350260;6a;Galeriestraße;München;80539;DE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58067780;48.14070670;7;Alfons-Goppel-Straße;München;80539;DE;Instituto Cervantes München;;;;;;;+49 892907180;;http://munich.cervantes.es/de;;;cenmun@cervantes.es;;;;+49 89 29 32 17;;educational_institution;;;;;;;;;;
11.58074890;48.14064540;7;Alfons-Goppel-Straße;;80539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58148290;48.14022820;4;Marstallplatz;München;80539;DE;;;;;;;;;;;;;;;;;;main;;;;;;;;;;;
11.58201490;48.14062770;10;Hofgartenstraße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58043040;48.14111970;11;Alfons-Goppel-Straße;München;80539;DE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.58202370;48.14076400;3;Marstallplatz;München;80539;DE;the spice basaar;Mo-Fr 11:30-15:00.18:00-01:00. Sa 12:00-01:00. Su 12:00-22:00;yes;http://thespicebazaar.de;restaurant;;+49 89 25547777;;;;TSB Gaststätten GmbH;welcome@thespicebazaar.de;;;;;;;;;;no;;;+49 89 25547778;;;;
11.58229290;48.14116870;8;Hofgartenstraße;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;
